id,title_spanish,title_english,director,raw_line,raw_text
416,Miller,,,416 Miller,416 Miller
452,Hermosillo,,,452 Hermosillo,452 Hermosillo
467,Crowther,,,467 Crowther,467 Crowther
489,Martín Méndez.,,,489 Martín Méndez.,489 Martín Méndez.
521,Spierig,,,521 Spierig,521 Spierig
549,Hughes,,,549 Hughes,549 Hughes
618,Dardenne.,,,618 Dardenne.,618 Dardenne.
650,diferentes directores,,,650 diferentes directores,650 diferentes directores
734,/Lim Dae-woong,,,734 /Lim Dae-woong,734 /Lim Dae-woong
774,TOPALOSKI,,,774 TOPALOSKI,774 TOPALOSKI
777,princesa),,,777 princesa),777 princesa)
778,"fuegos""",,,"778 fuegos""","778 fuegos"""
779,"Flor del mal, La",,Claude Chabrol,"779 Flor del mal, La Dir. Claude Chabrol","779 Flor del mal, La Dir. Claude Chabrol"
781,Blossoms,,,781 Blossoms,781 Blossoms
782,Fluir  de las lágrimas.El,,Wong Kar-Wai,782 Fluir  de las lágrimas.El Dir.  Wong Kar-Wai,782 Fluir  de las lágrimas.El Dir.  Wong Kar-Wai
783,Fly boys,,Tony Bill,783 Fly boys dir. Tony Bill.,783 Fly boys dir. Tony Bill.
785,fortress,,,785 fortress,785 fortress
787,Foxcatcher Foxcatcher,,Bennett Miller,787 Foxcatcher Foxcatcher Dir. Bennett Miller,787 Foxcatcher Foxcatcher Dir. Bennett Miller
791,Francisco de asís,,Michael Curtiz,791 Francisco de asís Dir.  Michael Curtiz,791 Francisco de asís Dir.  Michael Curtiz
792,giullare di Dio,,,792 giullare di Dio,792 giullare di Dio
793,"Francotirador, El",The deer hunter,Michael Cimino,"793 Francotirador, El = The deer hunter Dir. Michael Cimino","793 Francotirador, El = The deer hunter Dir. Michael Cimino"
795,Freaky Friday,,Mark Waters,795 Freaky Friday dir. Mark Waters,795 Freaky Friday dir. Mark Waters
796,Fresas salvajes,,Ingmar Bergman,796 Fresas salvajes Dir. Ingmar Bergman.,796 Fresas salvajes Dir. Ingmar Bergman.
797,Frida,,Julie Taymor,797 Frida Dir. Julie Taymor,797 Frida Dir. Julie Taymor
798,Luna.,,,798 Luna.,798 Luna.
799,Fuego : destrucción total,,Allan A,799 Fuego : destrucción total Dir. Allan A. Goldstein ; po,799 Fuego : destrucción total Dir. Allan A. Goldstein ; po
801,"Fuente de la vida, La",,Darren Aronofsky,"801 Fuente de la vida, La Dir. Darren Aronofsky","801 Fuente de la vida, La Dir. Darren Aronofsky"
802,Fuera de borda,Overboard,Garry Marhall,802 Fuera de borda = Overboard Dir. Garry Marhall,802 Fuera de borda = Overboard Dir. Garry Marhall
803,Fuera de control,,Roger Michel,803 Fuera de control Dir.Roger Michel,803 Fuera de control Dir.Roger Michel
805,"Fuerza de la verdad, La",,Mike Nichols,"805 Fuerza de la verdad, La Dir. Mike Nichols","805 Fuerza de la verdad, La Dir. Mike Nichols"
807,Special forces,,,807 Special forces,807 Special forces
810,Fulltime killer: Sin limites para matar,,"Johnnie To, Wai Ka-Fa","810 Fulltime killer: Sin limites para matar Dir. Johnnie To, Wai Ka-Fa","810 Fulltime killer: Sin limites para matar Dir. Johnnie To, Wai Ka-Fa"
811,"Furia, La Dir,  Brian De Palma",,,"811 Furia, La Dir,  Brian De Palma","811 Furia, La Dir,  Brian De Palma"
812,Furia de titanes 2,,Jonathan Liebesman,812 Furia de titanes 2 Dir. Jonathan Liebesman,812 Furia de titanes 2 Dir. Jonathan Liebesman
813,Furia en  dos ruedas,,Joseph Kahn,813 Furia en  dos ruedas Dir.Joseph Kahn,813 Furia en  dos ruedas Dir.Joseph Kahn
815,Gallipoli,,Peter Weir,815 Gallipoli dir Peter Weir,815 Gallipoli dir Peter Weir
816,Gandhi,,Richard Attenbourgh,816 Gandhi Dir. Richard Attenbourgh,816 Gandhi Dir. Richard Attenbourgh
854,Chaplin..,,,854 Chaplin..,854 Chaplin..
875,Carlos Tabío.,,,875 Carlos Tabío.,875 Carlos Tabío.
923,Fuentes,,,923 Fuentes,923 Fuentes
1028,Peter Farrelly,,,1028 Peter Farrelly,1028 Peter Farrelly
1153,,,Peter Howitt,1153 Dir. Peter Howitt,1153 Dir. Peter Howitt
1169,Bayona,,,1169 Bayona,1169 Bayona
1170,"Cukor, Sam Wood",,,"1170 Cukor, Sam Wood","1170 Cukor, Sam Wood"
1194,Bogdanovich.,,,1194 Bogdanovich.,1194 Bogdanovich.
1197,Aranoa,,,1197 Aranoa,1197 Aranoa
1199,edición de Roberto Bolado.,,,1199 edición de Roberto Bolado.,1199 edición de Roberto Bolado.
1210,Anderson,,,1210 Anderson,1210 Anderson
1229,Martín de Salvo.,,,1229 Martín de Salvo.,1229 Martín de Salvo.
1235,Danny Pang,,,1235 Danny Pang,1235 Danny Pang
1263,Hermosillo,,,1263 Hermosillo,1263 Hermosillo
1271,Brooks,,,1271 Brooks,1271 Brooks
1283,David Jones,,,1283 David Jones,1283 David Jones
1336,Violante.,,,1336 Violante.,1336 Violante.
1364,ed.,,,1364 ed.,1364 ed.
1368,Kramer,,,1368 Kramer,1368 Kramer
1386,Tom Lewis.,,,1386 Tom Lewis.,1386 Tom Lewis.
1397,Malberti,,,1397 Malberti,1397 Malberti
1400,Emeric Pressburger,,,1400 Emeric Pressburger,1400 Emeric Pressburger
1401,Hermosillo.,,,1401 Hermosillo.,1401 Hermosillo.
1407,Figueroa.,,,1407 Figueroa.,1407 Figueroa.
1497,Alatriste,,,1497 Alatriste,1497 Alatriste
1528,Fernández,,,1528 Fernández,1528 Fernández
1538,Hermosillo.,,,1538 Hermosillo.,1538 Hermosillo.
1613,Enrique Rivero,,,1613 Enrique Rivero,1613 Enrique Rivero
1624,de Aranoa,,,1624 de Aranoa,1624 de Aranoa
1626,Ortega,,,1626 Ortega,1626 Ortega
1613,Enrique Rivero,,,1613 Enrique Rivero,1613 Enrique Rivero
1624,de Aranoa,,,1624 de Aranoa,1624 de Aranoa
1626,Ortega,,,1626 Ortega,1626 Ortega
1661,Olvera,,,1661 Olvera,1661 Olvera
1717,Urban,,,1717 Urban,1717 Urban
1777,Grovias.,,,1777 Grovias.,1777 Grovias.
1781,Grovas.,,,1781 Grovas.,1781 Grovas.
1898,Christopher,,,1898 Christopher,1898 Christopher
1912,Hermosillo.,,,1912 Hermosillo.,1912 Hermosillo.
1935,Bourne,,,1935 Bourne,1935 Bourne
2063,Fernández,,,2063 Fernández,2063 Fernández
2077,Alatriste,,,2077 Alatriste,2077 Alatriste
2093,Hancock,,,2093 Hancock,2093 Hancock
2108,James C. Strouse,,,2108 James C. Strouse,2108 James C. Strouse
2173,vo,,,2173 vo,2173 vo
2183,Riva.,,,2183 Riva.,2183 Riva.
2185,Trinh Thi,,,2185 Trinh Thi,2185 Trinh Thi
2187,Vargas.,,,2187 Vargas.,2187 Vargas.
2220,Stoll.,,,2220 Stoll.,2220 Stoll.
2230,Antonio Navarro,,,2230 Antonio Navarro,2230 Antonio Navarro
